"plot.id","cluster","plot","count.ha","ba.ha","agb.ha","bgb.ha","agc.ha","bgc.ha","v.ha","dbh.mean","dbh.qdr.mean","h.mean","h.loreys","count.ha.sdt","ba.ha.sdt","agb.ha.sdt","bgb.ha.sdt","agc.ha.sdt","bgc.ha.sdt","v.ha.sdt","count.ha.ddw","agb.ha.ddw","v.ha.ddw","agc.ha.ddw","c.can"
406,4,6,35,1.21988828137055,5.78519299745358,1.59092807429974,2.71904070880318,0.747736194920876,5.12836069771787,13.9714285714286,38.0012161909851,4.91428571428571,10.0094269287476,0,0,0,0,0,0,0,0,0,0,0,8.70955852373282
407,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,4,8,20,1.46574932244049,4.14596334559989,1.14013992003997,1.94860277243195,0.535865762418786,3.59382098908323,30.25,31.4210984594776,5.7,5.8377762893503,0,0,0,0,0,0,0,0,0,0,0,3.71120760987054
409,4,9,575,5.44697973659196,17.2597727794639,4.74643751435258,8.11209320634805,2.23082563174571,14.6854346248641,9.81217391304348,15.8739077272681,5.98,6.41921252258371,0,0,0,0,0,0,0,0,0,0,0,30.3965389575054
410,4,10,710,15.3743222011469,65.8411267054491,18.1063098439985,30.9453295515611,8.5099656266793,57.6076645995602,13.8302816901408,28.9442051790544,6.42225352112676,8.92144085410133,25,0.059395736106932,0.127536390482519,0.0350725073826927,0.0599421035267839,0.0164840784698656,0.107268699409119,0,0,0,0,70.4254398684643
501,5,1,715,4.22988354569228,11.3358270880316,3.11735244920868,5.32783873137484,1.46515565112808,9.62923607792136,8.04265734265734,10.8496668464653,4.88867132867133,5.4201852885118,25,0.125663706143592,0.346546430905897,0.0953002684991217,0.162876822525772,0.0447911261945872,0.298727762244546,50,0.0297819120946394,0.459457925587507,0.0139974986844805,24.1003234859072
502,5,2,495,5.25675237442628,16.71979422691,4.59794341240024,7.85830328664768,2.16103340382811,17.2942581488703,9.8010101010101,19.0629152687729,4.70464646464646,7.83312626949674,0,0,0,0,0,0,0,0,0,0,0,39.335680947033
503,5,3,80,2.21789372759969,7.9046632648066,2.17378239782182,3.7151917344591,1.02167772697625,6.88780167271992,18.0875,21.0967576870368,6.73,7.39419007687922,0,0,0,0,0,0,0,0,0,0,0,13.93744975985
504,5,4,100,3.14630504257018,12.9997891825953,3.57494202521371,6.1099009158198,1.68022275185044,11.258508376742,18.94,23.3561977034448,7.995,8.51982626060909,0,0,0,0,0,0,0,0,0,0,0,20.002378549321
505,5,5,1125,9.12960962300135,28.3276738679483,7.79011031368578,13.3140067179357,3.66135184743232,25.8362143683201,9.13511111111111,14.6891766989155,5.99146666666667,6.73794375173131,0,0,0,0,0,0,0,0,0,0,0,44.2342813409276
506,5,6,540,7.38727448333882,22.8910378754758,6.29503541575585,10.7587878014736,2.95866664540525,22.5382070284103,11.5166666666667,19.243464065143,5.98759259259259,7.26416729305522,0,0,0,0,0,0,0,0,0,0,0,40.9323833489604
507,5,7,705,7.29634501097148,25.3678056029826,6.97614654082021,11.9228686334018,3.2787888741855,25.9055492600654,9.63758865248227,18.9410145538291,6.08794326241135,8.45353106218034,0,0,0,0,0,0,0,0,0,0,0,38.7401460988643
508,5,8,205,4.99505770638225,16.4333574712287,4.51917330458791,7.72367801147751,2.12401145315632,17.425573971326,15.6219512195122,27.503234167806,6.53121951219512,8.30610260687856,0,0,0,0,0,0,0,0,0,0,0,36.8334818094651
509,5,9,1195,7.15753766656343,16.1576877648651,4.44336413533792,7.59411324948662,2.08838114360882,15.9373489080728,7.73640167364017,13.4442689004813,3.83531380753138,5.30155349457823,0,0,0,0,0,0,0,25,0.0588510946690652,0.907920276887451,0.0276600144944606,22.7277665322459
510,5,10,30,1.06233740979302,4.34772872449376,1.19562539923578,2.04343250051207,0.561943937640818,3.7436988033477,20.7,22.8405016967197,7.95333333333333,8.39052498502895,0,0,0,0,0,0,0,0,0,0,0,6.54710804267081
601,6,1,620,4.28359299909622,13.2899154388244,3.65472674567671,6.24626025624747,1.71772157046806,12.6431229351649,7.58709677419355,17.0172635330874,5.14338709677419,7.02743553402615,0,0,0,0,0,0,0,25,0.0316184633404755,0.625373287605218,0.0148606777700235,25.5905927994517
602,6,2,350,6.64773964569296,24.5217446184652,6.74347977007793,11.5252199706786,3.16943549193663,26.5902516317478,12.7128571428571,26.0057671961735,6.47314285714286,9.52355632244882,0,0,0,0,0,0,0,25,0.0122233112716631,0.188574099031727,0.00574495629768166,28.9852152460903
